,type,startphrase,ending1,ending2,ending3,ending4,label,bert_average_surprisal_prediction,bert_max_word_surprisal_prediction,bert_max_words_each_ending,gpt2_average_surprisal_prediction,gpt2_max_word_surprisal_prediction,gpt2_max_words_each_ending,t5_average_surprisal_prediction,t5_max_word_surprisal_prediction,t5_max_words_each_ending
88,o,The child is learning how to walk. The child,is sleeping.,runs a marathon.,figures out how to dance.,breaks his fall with his face.,4,4,1,"['sleeping', 'marathon', 'dance', 'face']",3,2,"[' sleeping', ' runs', ' figures', ' breaks']",3,1,"['sleeping', 'a', 'figures', 'fall']"
89,o,The teacher is teaching the kids calculus. The teacher,engages with the students well.,is eating at her desk with headphones on.,is arguing with her husband over the phone.,is learning calculus.,1,3,3,"['well', 'on', 'phone', 'calculus']",4,4,"[' engages', ' eating', ' arguing', ' learning']",3,2,"['engages', 'her', 'arguing', 'calculus']"
90,o,The man is listening to his headphones. The man,is trying to study.,is having a conversation with someone in front of him.,is trying to teach students.,is in the shower.,1,2,4,"['study', 'him', 'students', 'shower']",2,4,"[' study', ' having', ' students', ' shower']",2,3,"['study', 'a', 'students', 'shower']"
91,o,The child is reading Harry Potter. The child,is at disney world.,looks up a word.,is eating at a restaurant.,is at the cinema watching Harry Potter.,2,3,3,"['world', 'word', 'restaurant', 'potter']",4,3,"[' dis', ' a', ' eating', ' cinema']",4,4,"['disney', 'a', 'a', 'cinema']"
92,o,The jacket is keeping the man warm. The man,is cold.,is in the fridge.,will be cold.,was cold.,4,2,2,"['cold', 'fridge', 'cold', 'cold']",1,1,"[' cold', ' fridge', ' cold', ' cold']",1,1,"['cold', 'fridge', 'cold', 'was']"
93,o,The carefully generated words were classified incorrectly to the network. The network,eats dinner.,ceases to be useful.,is being used to call a classification expert.,raises prices.,2,3,1,"['dinner', 'ceases', 'expert', 'prices']",2,3,"[' eats', ' ceases', ' classification', ' raises']",3,3,"['eats', 'ceases', 'classification', 'raises']"
94,o,The man is sitting on a chair. The man,He is tired from standing.,He is walking to a lecture.,He is running a marathon.,is playing soccer.,1,3,3,"['standing', 'lecture', 'marathon', 'soccer']",4,4,"[' He', ' He', ' He', ' soccer']",4,4,"['He', 'He', 'He', 'soccer']"
95,o,The tired man drinks an energy drink. The man,hopes to still be tired.,hopes to sleep soon.,has just finished a marathon.,will be sleeping soon.,3,4,4,"['tired', 'soon', 'marathon', 'soon']",3,3,"[' hopes', ' hopes', ' marathon', ' will']",4,4,"['hopes', 'sleep', 'a', 'soon']"
96,o,The scientist eats a banana. The scientist,is hungry.,hates bananas.,is trying to eat his lab equipment.,is giving a lecture.,1,4,4,"['hungry', 'bananas', 'equipment', 'lecture']",1,1,"[' is', ' hates', ' lab', ' giving']",1,1,"['hungry', 'hates', 'eat', 'a']"
97,p,The artist is painting a banana. The artist,looks at the banana.,is hungry.,eats the banana.,hates bananas.,1,1,3,"['banana', 'hungry', 'banana', 'bananas']",1,1,"[' looks', ' hungry', ' eats', ' hates']",1,1,"['looks', 'hungry', 'eats', 'hates']"
98,o,The artist looks at the banana. The artist,paints a portrait of his father.,paints a rhino.,eats a banana.,sketches a orange.,3,1,3,"['father', 'rhino', 'banana', 'orange']",3,1,"[' paints', ' rh', ' eats', ' orange']",1,1,"['paints', 'paints', 'eats', 'a']"
99,o,The forest is on fire. The forest,won the lottery.,is being flooded.,is making the atmosphere black.,is killing the fox.,3,4,4,"['lottery', 'flooded', 'black', 'fox']",2,2,"[' won', ' flooded', ' atmosphere', ' killing']",1,1,"['lottery', 'flooded', 'black', 'fox']"
100,o,The men are sitting together at the church. The men,singing in a band.,are studying together about physics.,attending a mass.,are talking on the phone and cursing loudly.,3,4,1,"['band', 'physics', 'mass', 'loudly']",4,4,"[' singing', ' physics', ' attending', ' cursing']",4,1,"['a', 'physics', 'a', 'cursing']"
101,o,The motorist is on the speedway. He is,is at the restaurant.,trying to find police cars.,on his way home from work.,walks his cat.,3,3,3,"['restaurant', 'cars', 'work', 'cat']",3,3,"[' is', ' police', ' on', ' walks']",3,3,"['restaurant', 'cars', 'his', 'walks']"
102,o,A driver likes speeding and sees a police car in a couple of hundred meters. The driver,gets a ticket.,loves his fast dog.,kisses his wife.,also likes police cars.,1,3,3,"['ticket', 'dog', 'wife', 'cars']",4,1,"[' gets', ' dog', ' kisses', ' police']",4,2,"['a', 'dog', 'kisses', 'likes']"
103,r,The teacher is giving a lecture. The lecture,engages the students.,is eating his breakfast.,is teaching the teacher.,loves to teach the students.,1,3,3,"['engages', 'breakfast', 'teacher', 'loves']",3,3,"[' engages', ' eating', ' teaching', ' loves']",3,3,"['engages', 'eating', 'teaching', 'loves']"
104,o,The headphones are playing music from a known band. The headphones,are on fire.,are black.,are hot.,is liquid.,2,1,2,"['fire', 'black', 'hot', 'liquid']",1,2,"[' fire', ' black', ' hot', ' liquid']",1,1,"['fire', 'black', 'hot', 'liquid']"
105,o,The man is at the kitchen. The man,is telling the waiter what he wants to eat.,cleans.,watching tv.,playing chess.,2,1,3,"['eat', 'cleans', 'tv', 'chess']",1,1,"[' telling', ' cleans', ' watching', ' playing']",1,2,"['waiter', 'cleans', 'tv', 'chess']"
106,p,A woman's favorite food to eat is a date. The date,will be in a nice bar.,is with a tasty man.,is juicy.,is her first one after a long time.,3,4,1,"['bar', 'tasty', 'juicy', 'time']",4,4,"[' nice', ' tasty', ' juicy', ' her']",4,1,"['a', 'tasty', 'juicy', 'a']"
107,o,A student grabs his smartphone. The student,texts his mother.,writes an essay.,drowns the phone.,throws the smartphone at the teacher.,1,4,2,"['mother', 'essay', 'drowns', 'teacher']",4,2,"[' texts', ' writes', ' drown', ' throws']",2,2,"['texts', 'essay', 'drowns', 'throws']"
108,o,A student receives a rebuking letter from the school. The student,responds to the love letter.,loves his teacher.,likes cows,beat up his friend during the break.,4,4,4,"['letter', 'teacher', 'cows', 'break']",1,2,"[' love', ' loves', ' cows', ' beat']",4,4,"['responds', 'loves', 'cows', 'beat']"
109,o,A dog and a cat and a horse are land creatures. They,all have the same speed.,fly through the air.,all have the same size.,do not have gills like fish.,4,2,2,"['speed', 'air', 'size', 'fish']",2,3,"[' speed', ' fly', ' size', ' g']",3,2,"['speed', 'air', 'size', 'gills']"
110,o,A student likes to eat almonds. The almonds,fly around.,can swim.,can drive the teachers car.,are part of a trail mix.,4,4,2,"['around', 'swim', 'car', 'mix']",4,1,"[' fly', ' swim', ' teachers', ' trail']",1,1,"['fly', 'swim', 'teachers', 'trail']"
111,o,A boy is flying a kite on a summer day.   He,uses the kite to author computer programs.,has dinner.,makes the kite do loops in the air and smiles.,runs for cover from the rain.,3,4,4,"['programs', 'dinner', 'smiles', 'rain']",4,4,"[' author', ' dinner', ' loops', ' runs']",4,4,"['author', 'dinner', 'smiles', 'cover']"
112,q,Carl has two dogs named Sundance and Midnight.,"Sundance is a female, and the other two dogs are male.","Sundance is male, and Midnight is female.","Sundance is not a canine, but Midnight is.","Midnight is not a canine, and neither is Sundance.",2,2,2,"['male', 'female', 'is', 'sundance']",2,1,"[' female', ' male', ' canine', ' canine']",1,4,"['Sundance', 'Sundance', 'Sundance', 'Sundance']"
113,o,There is a dog sitting by the window. The dog,morphs into a dog who looks outside.,is looking outside happily.,is bouncing up and down.,smells terrible.,2,3,3,"['morphs', 'happily', 'bouncing', 'terrible']",3,4,"[' morph', ' happily', ' bouncing', ' smells']",2,4,"['morphs', 'happily', 'bouncing', 'smells']"
114,o,A boy is running across a field wearing a green shirt.  He,smiles because his shirt is bright red.,gets tired and begins to slow down.,tosses and turns as he tries to fall asleep.,is trying to move as slowly as possible.,2,4,4,"['red', 'down', 'asleep', 'possible']",4,4,"[' He', ' slow', ' He', ' move']",4,4,"['smiles', 'tired', 'tosses', 'slowly']"
115,q,I have a younger brother. I,am a supportive younger sister to him.,will be twenty when he is fifteen.,will be fifteen when is twenty.,wonder if he has any siblings.,2,1,1,"['him', 'fifteen', 'twenty', 'siblings']",4,4,"[' supportive', ' twenty', ' is', ' wonder']",2,3,"['a', 'he', 'is', 'he']"
116,o,A boy is running across a field wearing a green shirt. He,smiles because his shirt is bright green.,smiles because his shirt is bright red.,is trying to move as slowly as possible.,tosses and turns as he tries to fall asleep.,1,3,3,"['green', 'red', 'possible', 'asleep']",3,3,"[' because', ' because', ' move', ' toss']",3,3,"['smiles', 'smiles', 'slowly', 'tosses']"
117,o,There is a long line outside of best buy. The people,are enjoying a nice steak that is on sale today.,are attending a lecture at school,are trying to find the way home.,are waiting to shop for some sale items.,4,1,2,"['today', 'school', 'home', 'items']",3,3,"[' enjoying', ' attending', ' way', ' sale']",3,3,"['a', 'a', 'way', 'sale']"
118,o,A boy is running across a field. He,gets tired and begins to slow down.,tosses and turns as he tries to fall asleep.,smiles because his shirt is bright red.,is trying to move as slowly as possible.,1,4,4,"['down', 'asleep', 'red', 'possible']",4,4,"[' slow', ' toss', ' smiles', ' slowly']",4,4,"['tired', 'tosses', 'smiles', 'slowly']"
119,o,The man is performing magic on stage. He,is training for a marathon in magicville.,attends school to learn magic.,pulls the cat out of a bag.,is eating dinner with his friend.,3,4,4,"['magicville', 'magic', 'bag', 'friend']",3,3,"['ville', ' attends', ' cat', ' eating']",4,4,"['magicville', 'attends', 'a', 'friend']"
120,o,The rabbit is running from the lion. The lion,is hunting.,is trying to become friends with the rabbit.,is sleeping in a cave.,is being domesticated.,1,2,2,"['hunting', 'rabbit', 'cave', 'domesticated']",2,1,"[' hunting', ' become', ' sleeping', ' domest']",2,2,"['hunting', 'friends', 'a', 'domesticated']"
121,o,The woman is walking to the cinema. The woman,is learning to speak german.,dislikes movies.,is on a date.,is eating with her date at home.,3,3,4,"['german', 'movies', 'date', 'home']",3,3,"[' g', ' disl', ' date', ' date']",1,1,"['german', 'dislikes', 'a', 'date']"
122,q,The woman is counting to three. The woman,is at number 6.,is at number 1.,is at number 10.,is at number 5.,2,2,2,"['6', '1', '10', '5']",3,1,"[' number', ' number', ' number', ' number']",2,3,"['at', 'at', 'at', 'at']"
123,o,The professor is teaching the kids physics. The professor,is arguing with her husband over the phone.,engages with the students well.,is eating at her desk with headphones on.,is learning physics.,2,1,1,"['phone', 'well', 'on', 'physics']",4,4,"[' arguing', ' engages', ' eating', ' learning']",1,3,"['arguing', 'engages', 'headphones', 'physics']"
124,o,The paleontologist eats a banana. He,hates bananas.,is trying to eat his lab equipment.,is giving a lecture.,is hungry.,4,3,3,"['bananas', 'equipment', 'lecture', 'hungry']",4,4,"[' hates', ' lab', ' giving', ' hungry']",4,4,"['hates', 'eat', 'a', 'hungry']"
125,o,The woman is at the kitchen and the stove is on. She,cleans.,playing chess.,is telling the waiter what she wants to eat.,watching tv.,1,3,4,"['cleans', 'chess', 'eat', 'tv']",3,3,"[' cleans', ' playing', ' telling', ' watching']",3,1,"['cleans', 'chess', 'waiter', 'tv']"
126,o,An red elephant statue is sitting on a desk.  It,is a particularly bright shade of blue.,looks like an expensive antique carving.,is much larger than a skyscraper.,is motionless and green.,2,1,1,"['blue', 'carving', 'skyscraper', 'green']",3,1,"[' particularly', ' It', ' skysc', ' motion']",2,2,"['a', 'carving', 'skyscraper', 'motionless']"
127,p,I eat a hot dog. The hot dog,eats his food.,prepares dinner.,wags his tail.,is spicy.,4,4,4,"['food', 'dinner', 'wags', 'spicy']",4,4,"[' his', ' prepares', ' w', ' spicy']",4,4,"['eats', 'prepares', 'wags', 'spicy']"
128,o,A woman is sitting at a table.  She,is eating dinner.,breaks the table using human hair.,flies the airplane into the ground.,is not sitting at a table.,1,4,4,"['dinner', 'hair', 'ground', 'table']",4,4,"[' eating', ' human', ' flies', ' not']",4,1,"['dinner', 'human', 'flies', 'a']"
129,o,A student is sitting in class. He,decided to become a train.,is doing his homework.,thinks the earth is flat.,is preparing dinner.,2,3,1,"['train', 'homework', 'flat', 'dinner']",2,2,"['.', ' doing', ' earth', ' preparing']",2,2,"['a', 'doing', 'thinks', 'preparing']"
130,r,Ashley walks her dog around her neighborhood. She,then goes to the park,wags her tail,then laps up water from the faucet,catches the frisbee in her mouth,1,1,1,"['park', 'wags', 'faucet', 'frisbee']",1,1,"[' then', ' w', ' laps', ' fr']",1,1,"['park', 'wags', 'laps', 'frisbee']"
131,r,"Jennifer walks her dog, Bill, around her neighborhood. She",then goes to the park,then laps up water from the faucet,catches a frisbee in her mouth,wags her tail,1,1,1,"['park', 'faucet', 'frisbee', 'wags']",1,1,"[' then', ' laps', ' fr', ' w']",1,1,"['park', 'laps', 'frisbee', 'wags']"
132,o,A girl cleans her new car. It,stops at a red light,signals a left turn,is no longer dirty,changes lanes,3,1,1,"['light', 'turn', 'dirty', 'lanes']",1,3,"[' stops', ' signals', ' no', ' changes']",3,3,"['a', 'a', 'dirty', 'lanes']"
133,o,"A woman sits at a table, and then",becomes a man.,takes a bath.,crash the flight into ground.,eats dinner.,4,1,1,"['man', 'bath', 'ground', 'dinner']",2,2,"[' becomes', ' bath', ' crash', ' eats']",2,3,"['a', 'a', 'crash', 'eats']"
134,o,"I go into the bathroom, to",so that I can walk back out.,eat my dinner.,exercise.,brush my teeth.,4,2,2,"['out', 'dinner', 'exercise', 'teeth']",4,2,"[' so', ' eat', ' exercise', ' brush']",4,4,"['out', 'eat', 'exercise', 'brush']"
135,o,Two men play chess in a park. They,each eat a three course dinner,reach a stalemate,each feed the birds,laugh uncontrollably,2,1,3,"['dinner', 'stalemate', 'birds', 'uncontrollably']",2,4,"[' course', ' reach', ' feed', ' uncontroll']",3,3,"['eat', 'stalemate', 'feed', 'uncontrollably']"
136,o,An audience is unhappy with the comedian's standup performance. They,bake a cake,laugh uncontrollably,throw tomatoes at him,invite him over for dinner,3,4,4,"['bake', 'uncontrollably', 'him', 'dinner']",4,2,"[' bake', ' laugh', ' throw', ' invite']",3,4,"['a', 'uncontrollably', 'tomatoes', 'over']"
137,o,An audience is unhappy with the comedian's standup performance. They,boo him off stage,call in sick from work,laugh uncontrollably,invite him over for dinner,1,4,4,"['stage', 'work', 'uncontrollably', 'dinner']",2,2,"[' boo', ' in', ' laugh', ' invite']",4,2,"['boo', 'work', 'uncontrollably', 'over']"
